id,voltage,battery_remaining,current_drawn,ground_speed,air_speed,nav_roll,nav_pitch,nav_bearing,pitch,yaw,roll,alt,lat,lon,payload,distance_frm_home,velocity_x,velocity_y,velocity_z,mode,flight_time
609,14.52,19,0.6,0.15,0.15,NULL,NULL,277,-0.179752,-1.48076,-0.667085,2.45,37.5994093,126.8635446,NULL,NULL,-0.25,0.23,0.7,LOITER,679.752
610,14.52,19,0.6,0.15,0.15,NULL,NULL,277,-0.179752,-1.48076,-0.667085,2.45,37.5994093,126.8635446,NULL,NULL,-0.25,0.23,0.7,LOITER,681.752
611,14.52,19,0.6,0.15,0.15,NULL,NULL,277,-0.179752,-1.48076,-0.667085,2.45,37.5994093,126.8635446,NULL,NULL,-0.25,0.23,0.7,LOITER,683.752
612,14.52,19,0.6,0.15,0.15,NULL,NULL,277,-0.179752,-1.48076,-0.667085,2.45,37.5994093,126.8635446,NULL,NULL,-0.25,0.23,0.7,LOITER,685.752
613,14.52,19,0.6,0.15,0.15,NULL,NULL,277,-0.179752,-1.48076,-0.667085,2.45,37.5994093,126.8635446,NULL,NULL,-0.25,0.23,0.7,LOITER,687.767
614,14.52,19,0.6,0.15,0.15,NULL,NULL,277,-0.179752,-1.48076,-0.667085,2.45,37.5994093,126.8635446,NULL,NULL,-0.25,0.23,0.7,LOITER,689.783
615,14.52,19,0.6,0.15,0.15,NULL,NULL,277,-0.179752,-1.48076,-0.667085,2.45,37.5994093,126.8635446,NULL,NULL,-0.25,0.23,0.7,LOITER,691.799
616,14.52,19,0.6,0.15,0.15,NULL,NULL,277,-0.179752,-1.48076,-0.667085,2.45,37.5994093,126.8635446,NULL,NULL,-0.25,0.23,0.7,LOITER,693.814
617,14.52,19,0.6,0.15,0.15,NULL,NULL,277,-0.179752,-1.48076,-0.667085,2.45,37.5994093,126.8635446,NULL,NULL,-0.25,0.23,0.7,LOITER,695.83
618,14.52,19,0.6,0.15,0.15,NULL,NULL,277,-0.179752,-1.48076,-0.667085,2.45,37.5994093,126.8635446,NULL,NULL,-0.25,0.23,0.7,LOITER,697.845
