id,sec,voltage,battery_remaining,current_drawn,ground_speed,air_speed,nav_roll,nav_pitch,nav_bearing,pitch,yaw,roll,alt,lat,lon,payload,distance_frm_home,velocity_x,velocity_y,velocity_z,mode,flight_time
225,450,14.794,58,12.76,0.02,0.02,NULL,NULL,307,-0.0247316,-0.900467,0.00255777,3.39,37.5993862,126.8635581,NULL,NULL,0.02,0,-0.37,LOITER,453.987
226,452,14.796,58,12.59,0.09,0.09,NULL,NULL,308,-0.0408362,-0.901101,-0.0172223,3.69,37.5993863,126.863559,NULL,NULL,0.01,-0.08,0.09,LOITER,456
227,454,14.761,58,15.59,0.5,0.5,NULL,NULL,308,-0.0117871,-0.901639,-0.0372337,3.69,37.5993855,126.8635653,NULL,NULL,-0.13,0.12,0.04,LOITER,458.013
228,456,14.751,58,15.02,0.16,0.16,NULL,NULL,308,-0.0408673,-0.905872,-0.0210979,3.71,37.5993832,126.8635709,NULL,NULL,-0.12,0.02,0.02,LOITER,460.027
229,458,14.753,57,14.51,0.03,0.03,NULL,NULL,308,-0.0265601,-0.904438,0.000138256,3.74,37.5993829,126.8635713,NULL,NULL,0,-0.05,-0.02,LOITER,462.04
230,460,14.758,57,14.42,0.12,0.12,NULL,NULL,308,-0.0172556,-0.906743,0.00776337,3.73,37.5993826,126.8635708,NULL,NULL,0.01,-0.04,-0.03,LOITER,464.054
231,462,14.767,57,14.5,0.07,0.07,NULL,NULL,308,-0.0105151,-0.900848,-0.0143877,3.75,37.5993829,126.8635705,NULL,NULL,0.06,-0.01,-0.03,LOITER,466.064
232,464,14.738,57,14.7,0.04,0.04,NULL,NULL,308,-0.0312446,-0.901776,-0.0163737,3.75,37.5993824,126.8635708,NULL,NULL,0.07,0.04,-0.03,LOITER,468.077
233,466,14.745,57,15.14,0.04,0.04,NULL,NULL,308,-0.00546468,-0.901654,-0.00220033,3.7,37.5993823,126.8635697,NULL,NULL,-0.01,0,0.01,LOITER,470.091
234,468,14.744,57,15.21,0.03,0.03,NULL,NULL,308,-0.0300826,-0.903307,-0.005082,3.67,37.5993816,126.8635709,NULL,NULL,0.07,-0.03,0.05,LOITER,472.105
235,470,14.746,56,14.3,0.16,0.16,NULL,NULL,308,-0.013409,-0.89836,-0.0281285,3.69,37.5993826,126.8635705,NULL,NULL,0.08,0.04,0.05,LOITER,474.12
236,472,14.733,56,15.03,0.04,0.04,NULL,NULL,308,-0.0232612,-0.90619,-0.0212257,3.68,37.5993832,126.8635706,NULL,NULL,0,0.04,0.03,LOITER,476.134
237,474,14.732,56,14.45,0.03,0.03,NULL,NULL,308,-0.0199507,-0.901798,-0.0273106,3.67,37.5993833,126.8635709,NULL,NULL,-0.02,0,0.04,LOITER,478.147
238,476,14.734,56,14.74,0.03,0.03,NULL,NULL,308,-0.0134885,-0.904704,-0.00814359,3.68,37.5993828,126.8635703,NULL,NULL,0.03,0.02,0.03,LOITER,480.16
239,478,14.733,56,14.88,0.06,0.06,NULL,NULL,307,-0.0060196,-0.908622,-0.0223505,3.69,37.5993838,126.8635706,NULL,NULL,0.06,0.05,0.02,LOITER,482.172
240,480,14.728,56,14.72,0.14,0.14,NULL,NULL,308,-0.00839174,-0.901996,-0.00413316,3.69,37.5993836,126.8635698,NULL,NULL,-0.05,0.01,0.02,LOITER,484.186
241,482,14.722,55,14.87,0.14,0.14,NULL,NULL,308,-0.0256791,-0.906434,-0.0131083,3.69,37.5993826,126.8635704,NULL,NULL,-0.03,0.02,0.02,LOITER,486.2
242,484,14.724,55,14.73,0.04,0.04,NULL,NULL,307,-0.0183724,-0.90854,0.0051162,3.72,37.5993821,126.8635708,NULL,NULL,0.02,-0.02,0,LOITER,488.217
243,486,14.707,55,14.95,0.05,0.05,NULL,NULL,307,-0.014172,-0.909023,-0.010724,3.74,37.599383,126.8635704,NULL,NULL,0,0,-0.01,LOITER,490.23
244,488,14.719,55,15.09,0.08,0.08,NULL,NULL,308,-0.0228273,-0.906209,-0.0494223,3.73,37.5993823,126.8635694,NULL,NULL,-0.45,-0.33,0,LOITER,492.243
245,490,14.731,55,14.69,0.07,0.07,NULL,NULL,307,-0.0219333,-0.907401,0.0205552,3.75,37.5993804,126.8635667,NULL,NULL,-0.12,-0.01,-0.02,LOITER,494.261
246,492,14.723,54,14.51,0.07,0.07,NULL,NULL,308,-0.0186362,-0.907638,-0.0128041,3.72,37.5993804,126.8635663,NULL,NULL,-0.05,0.07,-0.02,LOITER,496.272
